direction_color,rowDate,rowDateRaw,rowDateTimestamp,last_close,last_open,last_max,last_min,volume,volumeRaw,change_precent,last_closeRaw,last_openRaw,last_maxRaw,last_minRaw,change_precentRaw,date,valid_ohlc,weekday,is_weekend,year,month
,,,2008-06-15,,,,,,,,,,,,,2008-06-15,False,6,True,2008,6
,,,2008-06-21,,,,,,,,,,,,,2008-06-21,False,5,True,2008,6
,,,2008-06-22,,,,,,,,,,,,,2008-06-22,False,6,True,2008,6
,,,2008-06-28,,,,,,,,,,,,,2008-06-28,False,5,True,2008,6
,,,2008-06-29,,,,,,,,,,,,,2008-06-29,False,6,True,2008,6
,,,2008-07-05,,,,,,,,,,,,,2008-07-05,False,5,True,2008,7
,,,2008-07-06,,,,,,,,,,,,,2008-07-06,False,6,True,2008,7
,,,2008-07-12,,,,,,,,,,,,,2008-07-12,False,5,True,2008,7
,,,2008-07-13,,,,,,,,,,,,,2008-07-13,False,6,True,2008,7
,,,2008-07-19,,,,,,,,,,,,,2008-07-19,False,5,True,2008,7
,,,2008-07-20,,,,,,,,,,,,,2008-07-20,False,6,True,2008,7
,,,2008-07-26,,,,,,,,,,,,,2008-07-26,False,5,True,2008,7
,,,2008-07-27,,,,,,,,,,,,,2008-07-27,False,6,True,2008,7
,,,2008-08-02,,,,,,,,,,,,,2008-08-02,False,5,True,2008,8
,,,2008-08-03,,,,,,,,,,,,,2008-08-03,False,6,True,2008,8
,,,2008-08-09,,,,,,,,,,,,,2008-08-09,False,5,True,2008,8
,,,2008-08-10,,,,,,,,,,,,,2008-08-10,False,6,True,2008,8
,,,2008-08-16,,,,,,,,,,,,,2008-08-16,False,5,True,2008,8
,,,2008-08-17,,,,,,,,,,,,,2008-08-17,False,6,True,2008,8
,,,2008-08-23,,,,,,,,,,,,,2008-08-23,False,5,True,2008,8
,,,2008-08-24,,,,,,,,,,,,,2008-08-24,False,6,True,2008,8
,,,2008-08-30,,,,,,,,,,,,,2008-08-30,False,5,True,2008,8
,,,2008-08-31,,,,,,,,,,,,,2008-08-31,False,6,True,2008,8
,,,2008-09-06,,,,,,,,,,,,,2008-09-06,False,5,True,2008,9
,,,2008-09-07,,,,,,,,,,,,,2008-09-07,False,6,True,2008,9
,,,2008-09-13,,,,,,,,,,,,,2008-09-13,False,5,True,2008,9
,,,2008-09-14,,,,,,,,,,,,,2008-09-14,False,6,True,2008,9
,,,2008-09-20,,,,,,,,,,,,,2008-09-20,False,5,True,2008,9
,,,2008-09-21,,,,,,,,,,,,,2008-09-21,False,6,True,2008,9
,,,2008-09-27,,,,,,,,,,,,,2008-09-27,False,5,True,2008,9
,,,2008-09-28,,,,,,,,,,,,,2008-09-28,False,6,True,2008,9
,,,2008-10-04,,,,,,,,,,,,,2008-10-04,False,5,True,2008,10
,,,2008-10-05,,,,,,,,,,,,,2008-10-05,False,6,True,2008,10
,,,2008-10-11,,,,,,,,,,,,,2008-10-11,False,5,True,2008,10
,,,2008-10-12,,,,,,,,,,,,,2008-10-12,False,6,True,2008,10
,,,2008-10-18,,,,,,,,,,,,,2008-10-18,False,5,True,2008,10
,,,2008-10-19,,,,,,,,,,,,,2008-10-19,False,6,True,2008,10
,,,2008-10-25,,,,,,,,,,,,,2008-10-25,False,5,True,2008,10
,,,2008-10-26,,,,,,,,,,,,,2008-10-26,False,6,True,2008,10
,,,2008-11-01,,,,,,,,,,,,,2008-11-01,False,5,True,2008,11
,,,2008-11-02,,,,,,,,,,,,,2008-11-02,False,6,True,2008,11
,,,2008-11-08,,,,,,,,,,,,,2008-11-08,False,5,True,2008,11
,,,2008-11-09,,,,,,,,,,,,,2008-11-09,False,6,True,2008,11
,,,2008-11-15,,,,,,,,,,,,,2008-11-15,False,5,True,2008,11
,,,2008-11-16,,,,,,,,,,,,,2008-11-16,False,6,True,2008,11
,,,2008-11-22,,,,,,,,,,,,,2008-11-22,False,5,True,2008,11
,,,2008-11-23,,,,,,,,,,,,,2008-11-23,False,6,True,2008,11
,,,2008-11-29,,,,,,,,,,,,,2008-11-29,False,5,True,2008,11
,,,2008-11-30,,,,,,,,,,,,,2008-11-30,False,6,True,2008,11
,,,2008-12-06,,,,,,,,,,,,,2008-12-06,False,5,True,2008,12
,,,2008-12-07,,,,,,,,,,,,,2008-12-07,False,6,True,2008,12
,,,2008-12-13,,,,,,,,,,,,,2008-12-13,False,5,True,2008,12
,,,2008-12-14,,,,,,,,,,,,,2008-12-14,False,6,True,2008,12
,,,2008-12-20,,,,,,,,,,,,,2008-12-20,False,5,True,2008,12
,,,2008-12-21,,,,,,,,,,,,,2008-12-21,False,6,True,2008,12
,,,2008-12-27,,,,,,,,,,,,,2008-12-27,False,5,True,2008,12
,,,2008-12-28,,,,,,,,,,,,,2008-12-28,False,6,True,2008,12
,,,2009-01-03,,,,,,,,,,,,,2009-01-03,False,5,True,2009,1
,,,2009-01-04,,,,,,,,,,,,,2009-01-04,False,6,True,2009,1
,,,2009-01-10,,,,,,,,,,,,,2009-01-10,False,5,True,2009,1
,,,2009-01-11,,,,,,,,,,,,,2009-01-11,False,6,True,2009,1
,,,2009-01-17,,,,,,,,,,,,,2009-01-17,False,5,True,2009,1
,,,2009-01-18,,,,,,,,,,,,,2009-01-18,False,6,True,2009,1
,,,2009-01-24,,,,,,,,,,,,,2009-01-24,False,5,True,2009,1
,,,2009-01-25,,,,,,,,,,,,,2009-01-25,False,6,True,2009,1
,,,2009-01-31,,,,,,,,,,,,,2009-01-31,False,5,True,2009,1
,,,2009-02-01,,,,,,,,,,,,,2009-02-01,False,6,True,2009,2
,,,2009-02-07,,,,,,,,,,,,,2009-02-07,False,5,True,2009,2
,,,2009-02-08,,,,,,,,,,,,,2009-02-08,False,6,True,2009,2
,,,2009-02-14,,,,,,,,,,,,,2009-02-14,False,5,True,2009,2
,,,2009-02-15,,,,,,,,,,,,,2009-02-15,False,6,True,2009,2
,,,2009-02-21,,,,,,,,,,,,,2009-02-21,False,5,True,2009,2
,,,2009-02-22,,,,,,,,,,,,,2009-02-22,False,6,True,2009,2
,,,2009-02-28,,,,,,,,,,,,,2009-02-28,False,5,True,2009,2
,,,2009-03-01,,,,,,,,,,,,,2009-03-01,False,6,True,2009,3
,,,2009-03-07,,,,,,,,,,,,,2009-03-07,False,5,True,2009,3
,,,2009-03-08,,,,,,,,,,,,,2009-03-08,False,6,True,2009,3
,,,2009-03-14,,,,,,,,,,,,,2009-03-14,False,5,True,2009,3
,,,2009-03-15,,,,,,,,,,,,,2009-03-15,False,6,True,2009,3
,,,2009-03-21,,,,,,,,,,,,,2009-03-21,False,5,True,2009,3
,,,2009-03-22,,,,,,,,,,,,,2009-03-22,False,6,True,2009,3
,,,2009-03-28,,,,,,,,,,,,,2009-03-28,False,5,True,2009,3
,,,2009-03-29,,,,,,,,,,,,,2009-03-29,False,6,True,2009,3
,,,2009-04-04,,,,,,,,,,,,,2009-04-04,False,5,True,2009,4
,,,2009-04-05,,,,,,,,,,,,,2009-04-05,False,6,True,2009,4
,,,2009-04-11,,,,,,,,,,,,,2009-04-11,False,5,True,2009,4
,,,2009-04-12,,,,,,,,,,,,,2009-04-12,False,6,True,2009,4
,,,2009-04-18,,,,,,,,,,,,,2009-04-18,False,5,True,2009,4
,,,2009-04-19,,,,,,,,,,,,,2009-04-19,False,6,True,2009,4
,,,2009-04-25,,,,,,,,,,,,,2009-04-25,False,5,True,2009,4
,,,2009-04-26,,,,,,,,,,,,,2009-04-26,False,6,True,2009,4
,,,2009-05-02,,,,,,,,,,,,,2009-05-02,False,5,True,2009,5
,,,2009-05-03,,,,,,,,,,,,,2009-05-03,False,6,True,2009,5
,,,2009-05-09,,,,,,,,,,,,,2009-05-09,False,5,True,2009,5
,,,2009-05-10,,,,,,,,,,,,,2009-05-10,False,6,True,2009,5
,,,2009-05-16,,,,,,,,,,,,,2009-05-16,False,5,True,2009,5
,,,2009-05-17,,,,,,,,,,,,,2009-05-17,False,6,True,2009,5
,,,2009-05-23,,,,,,,,,,,,,2009-05-23,False,5,True,2009,5
,,,2009-05-24,,,,,,,,,,,,,2009-05-24,False,6,True,2009,5
,,,2009-05-30,,,,,,,,,,,,,2009-05-30,False,5,True,2009,5
,,,2009-05-31,,,,,,,,,,,,,2009-05-31,False,6,True,2009,5
,,,2009-06-06,,,,,,,,,,,,,2009-06-06,False,5,True,2009,6
,,,2009-06-07,,,,,,,,,,,,,2009-06-07,False,6,True,2009,6
